,Description,Image_url
65,Linen-blend trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/ca/1f/ca1fa70c40dd16d15ef49d83b7656c727bd95bbd.jpg],origin[dam],category[men_trousers_trousers_regular_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
66,Cotton chinos Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/6e/c5/6ec518d024b834b16340bbd21f044b47f43671c0.jpg],origin[dam],category[men_trousers_chinos],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
67,COOLMAX® joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/52/0e/520e850e6b7402de81a34763e672892e29b2ddcd.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
68,Cropped Sweatpants Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/74/97/7497467eb227db136c06fda00bafe87acffe28ef.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
69,Cotton joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/57/00/570016fa6f97e7c00fb79f28409db02ae3b94dcc.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
70,Linen-blend cargo trousersModel,"http://lp2.hm.com/hmgoepprod?set=source[/87/8b/878b3857be5cb4dac7d90fe0eedc15a00e3bda60.jpg],origin[dam],category[men_trousers_cargo],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
71,Chinos Slim Fit StretchModel,"http://lp2.hm.com/hmgoepprod?set=source[/cc/c2/ccc29d1d3a231d3f6a17883340eb75a4ef6cb2f9.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
72,Cropped chinos Slim FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/ca/23/ca23ed24807df9d5710e6fdce6c0d564ff59fc8f.jpg],origin[dam],category[men_trousers_chinos_slim_all],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
73,Cotton cargo joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/4f/ad/4fad92e10c3fa99b9e26d4f11c7c8e8873f32789.jpg],origin[dam],category[men_trousers_cargo],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
74,Sports joggersModel,"http://lp2.hm.com/hmgoepprod?set=source[/7f/09/7f091239996d2c5ac8bb442e4f20499cc60b4708.jpg],origin[dam],category[men_sport_bottoms],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
