,Description,Image_url
80,Silk-blend polo shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/c1/5a/c15ad34ccd8bd136179ceee9e4bfd4535aeadeae.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
81,Long-sleeved top Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/2a/a7/2aa78b12cd33866b84b2a08a40ef3617ae46ecc4.jpg],origin[dam],category[men_tshirtstanks_longsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
82,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/da/32/da32cdaa28d2855f24e9973ba22d1e08e6aa0d51.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
83,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/41/98/4198597789e0b138f329356e2b6cee6c73806794.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
84,2-pack vest tops Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/a2/f1/a2f1188c0d34667c4187e4a644090e0d4b1c7741.jpg],origin[dam],category[men_tshirtstanks_tanks],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
85,Running top Regular FitModel,"http://lp2.hm.com/hmgoepprod?set=source[/02/f2/02f2f9c2380179717564bef33cb492454efda64b.jpg],origin[dam],category[men_sport_tops],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
86,Slub jersey T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/a3/05/a305027db53c8dfd402adc850e743532b8bd8591.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
87,Printed T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/ef/b7/efb70eeb7b71f3eeee1a365d9a2d98e3ec108183.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]"
88,Cotton T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/1a/ac/1aaca2454b6ecd75d74e8b86e9f6bd768cfddd17.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
89,Premium cotton T-shirtModel,"http://lp2.hm.com/hmgoepprod?set=source[/6b/3c/6b3cc8f2400992a3fdd58657295eec42703660e8.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
